Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
-1,0.1,28.3,984.5,951,1.4698,7/11/2022,8:20:32
-1,0.1,28.6,984.5,952,1.4703,7/11/2022,8:20:42
-1,0.1,28.5,983.9,952,1.4714,7/11/2022,8:20:52
-1,0.1,28.7,984.7,950,1.472,7/11/2022,8:21:02
-1,0.1,28.7,984.5,954,1.473,7/11/2022,8:21:12
-1,0.1,28.7,984.4,958,1.4736,7/11/2022,8:21:22
-1,0.1,28.7,984,960,1.4746,7/11/2022,8:21:32
-1,0.11,28.8,984.3,956,1.4751,7/11/2022,8:21:42
-1,0.11,28.8,984.7,960,1.4762,7/11/2022,8:21:52
-1,0.13,28.8,984.3,957,1.4766,7/11/2022,8:22:02
-1,0.16,28.8,984.2,959,1.4778,7/11/2022,8:22:12
-1,0.23,28.8,985.1,960,1.4775,7/11/2022,8:22:22
-1,0.34,28.8,985.1,956,1.4792,7/11/2022,8:22:32
-1,0.49,28.8,983.6,960,1.478,7/11/2022,8:22:42
-1,0.7,28.8,983.9,959,1.4806,7/11/2022,8:22:52
-1,0.94,28.8,984.3,959,1.4782,7/11/2022,8:23:02
-1,1.2,28.9,984.3,959,1.482,7/11/2022,8:23:12
-1,1.49,29,985,960,1.4781,7/11/2022,8:23:22
-1,1.8,29.1,984.8,959,1.4833,7/11/2022,8:23:32
-1,2.12,29.2,985,960,1.4779,7/11/2022,8:23:42
-1,2.43,29.2,984.1,963,1.4846,7/11/2022,8:23:52
-1,2.74,29.2,984.3,960,1.4778,7/11/2022,8:24:02
-1,3.05,29.2,985,963,1.4859,7/11/2022,8:24:12
-1,3.34,29.2,984,964,1.4777,7/11/2022,8:24:22
-1,3.63,29.2,984.9,961,1.4872,7/11/2022,8:24:32
-1,3.9,29.2,983.9,959,1.4777,7/11/2022,8:24:42
-1,4.18,29.2,984.8,965,1.4884,7/11/2022,8:24:52
-1,4.47,29.2,984,960,1.4777,7/11/2022,8:25:02
-1,4.73,29.2,983.8,961,1.4897,7/11/2022,8:25:12
-1,4.97,29.2,984.4,959,1.478,7/11/2022,8:25:22
-1,5.18,29.2,984.7,959,1.4909,7/11/2022,8:25:32
-1,5.38,29.2,984.2,963,1.4783,7/11/2022,8:25:42
-1,5.57,29.3,984.2,961,1.4922,7/11/2022,8:25:52
-1,5.75,29.3,984,955,1.4788,7/11/2022,8:26:02
-1,5.91,29.4,983.9,952,1.4935,7/11/2022,8:26:12
-1,6.06,29.6,983.8,951,1.4795,7/11/2022,8:26:22
-1,6.2,29.6,983.9,952,1.4947,7/11/2022,8:26:32
-1,6.32,29.7,984.3,952,1.4802,7/11/2022,8:26:42
-1,6.43,29.7,984.5,952,1.496,7/11/2022,8:26:52
-1,6.52,29.7,984.5,957,1.481,7/11/2022,8:27:02
-1,6.62,29.7,983.5,958,1.4972,7/11/2022,8:27:12
-1,6.71,29.7,984.3,960,1.4819,7/11/2022,8:27:22
-1,6.79,29.7,984.4,958,1.4985,7/11/2022,8:27:32
-1,6.86,29.7,983.3,951,1.4828,7/11/2022,8:27:42
-1,6.93,29.7,984.8,950,1.4997,7/11/2022,8:27:52
-1,6.99,29.7,984.3,958,1.4838,7/11/2022,8:28:02
-1,7.03,29.7,984,952,1.501,7/11/2022,8:28:12
-1,7.08,29.7,983.9,960,1.4848,7/11/2022,8:28:22
-1,7.13,29.7,984.4,957,1.5022,7/11/2022,8:28:32
-1,7.16,29.7,983.4,948,1.4858,7/11/2022,8:28:42
-1,7.19,29.7,984.6,954,1.5034,7/11/2022,8:28:52
-1,7.22,29.8,984.6,948,1.4869,7/11/2022,8:29:02
-1,7.25,29.8,983,954,1.5046,7/11/2022,8:29:12
-1,7.27,29.8,983,951,1.488,7/11/2022,8:29:22
-1,7.3,30,984.4,951,1.5058,7/11/2022,8:29:32
-1,7.33,30.1,984.3,948,1.4891,7/11/2022,8:29:42
-1,7.35,30.2,984.3,943,1.5069,7/11/2022,8:29:52
-1,7.37,30.2,984.4,950,1.4902,7/11/2022,8:30:02
-1,7.38,30.2,983.7,945,1.5081,7/11/2022,8:30:12
-1,7.39,30.2,984.2,953,1.4913,7/11/2022,8:30:22
-1,7.39,30.2,984.6,955,1.5093,7/11/2022,8:30:32
-1,7.39,30.2,984.2,948,1.4925,7/11/2022,8:30:42
-1,7.39,30.2,984.4,961,1.5104,7/11/2022,8:30:52
-1,7.4,30.2,984,950,1.4936,7/11/2022,8:31:02
-1,7.4,30.2,983.9,949,1.5116,7/11/2022,8:31:12
-1,7.41,30.2,984.4,957,1.4947,7/11/2022,8:31:22
-1,7.41,30.2,984.6,956,1.5127,7/11/2022,8:31:32
-1,7.41,30.2,983.5,949,1.4958,7/11/2022,8:31:42
-1,7.41,30.2,984,956,1.5138,7/11/2022,8:31:52
-1,7.41,30.2,983.2,948,1.4969,7/11/2022,8:32:02
-1,7.4,30.2,983.8,948,1.5149,7/11/2022,8:32:12
-1,7.39,30.2,983.2,954,1.498,7/11/2022,8:32:22
-1,7.38,30.2,983.5,946,1.516,7/11/2022,8:32:32
-1,7.37,30.3,983.1,946,1.4992,7/11/2022,8:32:42
-1,7.37,30.5,984,955,1.5171,7/11/2022,8:32:52
-1,7.36,30.6,984.4,956,1.5003,7/11/2022,8:33:02
-1,7.35,30.6,983.4,948,1.5182,7/11/2022,8:33:12
-1,7.35,30.7,982.9,946,1.5013,7/11/2022,8:33:22
-1,7.35,30.6,984.3,947,1.5192,7/11/2022,8:33:32
-1,7.34,30.7,984.2,949,1.5024,7/11/2022,8:33:42
-1,7.34,30.7,983.2,957,1.5203,7/11/2022,8:33:52
-1,7.33,30.7,983.3,954,1.5035,7/11/2022,8:34:02
-1,7.32,30.7,983.1,936,1.5213,7/11/2022,8:34:12
-1,7.32,30.7,983.1,935,1.5045,7/11/2022,8:34:22
-1,7.32,30.7,983.4,946,1.5223,7/11/2022,8:34:32
-1,7.31,30.7,982.6,945,1.5055,7/11/2022,8:34:42
-1,7.31,30.7,983.7,955,1.5234,7/11/2022,8:34:52
-1,7.31,30.7,983.1,955,1.5065,7/11/2022,8:35:02
-1,7.31,30.7,982.4,950,1.5243,7/11/2022,8:35:12
-1,7.31,30.7,983.5,952,1.5076,7/11/2022,8:35:22
-1,7.3,30.7,983.6,964,1.5253,7/11/2022,8:35:32
-1,7.29,30.9,982.6,940,1.5085,7/11/2022,8:35:42
-1,7.29,31,982.8,950,1.5263,7/11/2022,8:35:52
-1,7.29,30.9,983.7,959,1.5095,7/11/2022,8:36:02
-1,7.29,30.9,984.3,958,1.5273,7/11/2022,8:36:12
-1,7.28,31,983.8,976,1.5104,7/11/2022,8:36:22
-1,7.28,31.1,984,980,1.5282,7/11/2022,8:36:32
-1,7.28,31.2,984.2,986,1.5114,7/11/2022,8:36:42
-1,7.28,31.2,984,988,1.5292,7/11/2022,8:36:52
-1,7.28,31.2,983.8,988,1.5124,7/11/2022,8:37:02
-1,7.27,31.2,983.6,987,1.5301,7/11/2022,8:37:12
-1,7.26,31.2,982.9,982,1.5133,7/11/2022,8:37:22
-1,7.26,31.2,983,977,1.531,7/11/2022,8:37:32
-1,7.25,31.2,982.6,945,1.5142,7/11/2022,8:37:42
-1,7.25,31.2,983.4,931,1.5319,7/11/2022,8:37:52
-1,7.24,31.2,983.6,931,1.5152,7/11/2022,8:38:02
-1,7.23,31.2,982.9,949,1.5328,7/11/2022,8:38:12
-1,7.22,31.2,983.4,951,1.5161,7/11/2022,8:38:22
-1,7.21,31.2,983.9,970,1.5337,7/11/2022,8:38:32
-1,7.2,31.2,983.1,952,1.5171,7/11/2022,8:38:42
-1,7.19,31.2,983.7,948,1.5346,7/11/2022,8:38:52
-1,7.17,31.2,982.9,959,1.518,7/11/2022,8:39:02
-1,7.16,31.2,983.7,951,1.5355,7/11/2022,8:39:12
-1,7.15,31.3,983.7,963,1.5189,7/11/2022,8:39:22
-1,7.14,31.2,983.8,966,1.5363,7/11/2022,8:39:32
-1,7.14,31.5,984.6,969,1.5197,7/11/2022,8:39:42
-1,7.14,31.5,983.5,952,1.5372,7/11/2022,8:39:52
-1,7.13,31.4,983.4,958,1.5206,7/11/2022,8:40:02
-1,7.13,31.6,983.8,944,1.538,7/11/2022,8:40:12
-1,7.12,31.6,982.9,943,1.5215,7/11/2022,8:40:22
-1,7.12,31.6,982.9,945,1.5389,7/11/2022,8:40:32
-1,7.12,31.7,982.9,942,1.5223,7/11/2022,8:40:42
-1,7.11,31.7,983.9,957,1.5397,7/11/2022,8:40:52
-1,7.11,31.7,984,961,1.5232,7/11/2022,8:41:02
-1,7.1,31.7,983.8,946,1.5405,7/11/2022,8:41:12
-1,7.09,31.7,983.6,945,1.5241,7/11/2022,8:41:22
-1,7.08,31.7,983.2,942,1.5414,7/11/2022,8:41:32
-1,7.07,31.7,983.6,952,1.5249,7/11/2022,8:41:42
